issn_l,journal_title,sci_quartile,source,note
,20 Et 21-Revue D Histoire,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,"Annals of the University Dunarea de Jos of Galati, Fascicle VI-Food Technology",Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of the University of Craiova-Mathematics and Computer Science Series,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Thoracic and Cardiovascular Surgery,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Thoracic Medicine,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANNALS OF THORACIC SURGERY,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Tourism Research Empirical Insights,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANNALS OF TOURISM RESEARCH,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Transplantation,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Vascular Diseases,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANNALS OF VASCULAR SURGERY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annals of Work Exposures and Health,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annee du Maghreb,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANNEE PSYCHOLOGIQUE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual of the British School at Athens,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Plant Reviews Online,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Analytical Chemistry,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Animal Biosciences,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Anthropology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Applied Linguistics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Astronomy and Astrophysics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Biochemistry,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Biomedical Data Science,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Biomedical Engineering,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Biophysics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Cancer Biology,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Cell and Developmental Biology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Chemical and Biomolecular Engineering,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Clinical Psychology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Condensed Matter Physics,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Control Robotics and Autonomous Systems,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Criminology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of CyberTherapy and Telemedicine,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Earth and Planetary Sciences,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Ecology Evolution and Systematics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Economics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Entomology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Environment and Resources,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Financial Economics,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Fluid Mechanics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Food Science and Technology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Genetics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Genomics and Human Genetics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Immunology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Law and Social Science,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Linguistics,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Marine Science,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Materials Research,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Medicine,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Microbiology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Neuroscience,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Nuclear and Particle Science,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Nutrition,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Organizational Psychology and Organizational Behavior,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Pathology-Mechanisms of Disease,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Pharmacology and Toxicology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Physical Chemistry,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Physiology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Phytopathology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Plant Biology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Political Science,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Psychology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Public Health,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Resource Economics,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Sociology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Statistics and Its Application,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Virology,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Annual Review of Vision Science,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANNUAL REVIEWS IN CONTROL,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anos 90,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANQ-A QUARTERLY JOURNAL OF SHORT ARTICLES NOTES AND REVIEWS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Ansiedad y Estres-Anxiety and Stress,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTARCTIC SCIENCE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antares-Letras e Humanidades,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropocene Coasts,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropocene Review,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropocene,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropological Forum,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropological Journal of European Cultures,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropological Measurements of Philosophical Research,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropological Notebooks,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGICAL QUARTERLY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGICAL SCIENCE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropological Theory,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropologie et Sante-Revue Internationale Francophone d Anthropologie de la Sante,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropologie-International Journal of Human Diversity and Evolution,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGIE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGISCHER ANZEIGER,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology & Aging,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGY & EDUCATION QUARTERLY,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology & Medicine,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology in Action-Journal for Applied Anthropology in Policy and Practice,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOLOGY OF CONSCIOUSNESS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology of Work Review,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology Southern Africa,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anthropology Today,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROPOZOOLOGICA,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTHROZOOS,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anti-Cancer Agents in Medicinal Chemistry,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTI-CANCER DRUGS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTI-CORROSION METHODS AND MATERIALS,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anti-Trafficking Review,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antibiotics-Basel,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antibodies,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTICANCER RESEARCH,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antichthon,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIKE UND ABENDLAND,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antimicrobial Resistance and Infection Control,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIOXIDANTS & REDOX SIGNALING,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antioxidants,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antiphon-A Journal for Liturgical Renewal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIPODE,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antipodes-A Global Journal of Australian/New Zealand Literature,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antiquaries Journal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIQUITY,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIQVORVM PHILOSOPHIA-An International journal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antiteses,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIVIRAL RESEARCH,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTIVIRAL THERAPY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antropologia e Teatro-Rivista di Studi,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Antropologia Portuguesa,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuari de Filologia-Estudis de Linguistica,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuari de Filologia-Llengues i Literaturas Modernas,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Calderoniano,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Colombiano de Derecho Internacional-ACDI,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Colombiano de Historia Social y de la Cultura,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Estudios Americanos,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Estudios Medievales,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Filosofia del Derecho,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Historia de la Iglesia,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Historia Regional y de las Fronteras,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de la Escuela de Historia Virtual,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario De Psicologia Juridica,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario de Psicologia,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Espanol de Derecho Internacional Privado,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Filosofico,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Iberoamericano de Derecho Internacional Penal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario IEHS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Lope de Vega-Texto Literatura Cultura,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Mexicano de Derecho Internacional,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Musical,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Anuario Turismo y Sociedad,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANXIETY STRESS AND COPING,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANZ JOURNAL OF SURGERY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,ANZIAM JOURNAL,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,AoB Plants,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,AORN JOURNAL,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Aotearoa New Zealand Social Work,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Apeiron-A Journal for Ancient Philosophy and Science,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APERTURE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APHASIOLOGY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APIDOLOGIE,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APL Bioengineering,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APL Materials,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APL Photonics,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APMIS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APOLLO-The International Art Magazine,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APOPTOSIS,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Aportes-Revista de Historia Contemporanea,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APOS Trends in Orthodontics,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Aposta-Revista de Ciencias Sociales,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Appalachian Heritage-A Literary Quarterly of the Southern Appalachians,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Appeal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPETITE,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applicable Analysis and Discrete Mathematics,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLICABLE ANALYSIS,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Application of Clinical Genetics,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applications and Applied Mathematics-An International Journal,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applications in Energy and Combustion Science,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applications in Engineering Science,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applications in Plant Sciences,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applications of Mathematics,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED ACOUSTICS,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied and Computational Mathematics,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied and Environmental Soil Science,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED ANIMAL BEHAVIOUR SCIENCE,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Animal Science,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED ARTIFICIAL INTELLIGENCE,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Biological Chemistry,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Biological Research,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Bionics and Biomechanics,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Biosafety,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED CATALYSIS A-GENERAL,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Catalysis B-Environment and Energy,Q1,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED CATEGORICAL STRUCTURES,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Chemistry for Engineering,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED CLAY SCIENCE,Q2,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Clinical Informatics,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED COGNITIVE PSYCHOLOGY,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED COMPOSITE MATERIALS,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Computational Intelligence and Soft Computing,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Computer Systems,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Computing and Geosciences,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Computing and Informatics,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Computing Review,Q4,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
,Applied Developmental Science,Q3,2025中科院分区表完整版（附2023vs2025对比版）.xlsx,2025 CAS journal partition; matched by journal title
